Trial Number,Vis Type,Participate Percent,Standard Percent,Basic Error
19,Bar Chart,50,53,0.03
40,Bar Chart,50,53,0.03
1,Tree Chart,45,48,0.03
2,Bar Chart,45,48,0.03
4,Pie Chart,50,47,0.03
40,Tree Chart,46,43,0.03
9,Tree Chart,40,43,0.03
45,Tree Chart,40,43,0.03
1,Bar Chart,40,43,0.03
28,Bar Chart,40,43,0.03
37,Bar Chart,33,36,0.03
37,Bar Chart,30,33,0.03
1,Tree Chart,35,32,0.03
19,Pie Chart,25,28,0.03
1,Pie Chart,25,28,0.03
2,Bar Chart,25,28,0.03
14,Bar Chart,25,28,0.03
56,Tree Chart,25,28,0.03
16,Bar Chart,25,28,0.03
26,Tree Chart,20,23,0.03
11,Tree Chart,20,23,0.03
31,Tree Chart,20,23,0.03
26,Tree Chart,20,23,0.03
55,Pie Chart,25,22,0.03
28,Tree Chart,25,22,0.03
59,Bar Chart,25,22,0.03
13,Tree Chart,16,19,0.03
42,Tree Chart,15,18,0.03
42,Tree Chart,20,17,0.03
30,Pie Chart,12,15,0.03
11,Bar Chart,10,13,0.03
16,Pie Chart,16,13,0.03
22,Bar Chart,10,13,0.03
43,Tree Chart,10,13,0.03
35,Pie Chart,8,11,0.03
29,Tree Chart,8,11,0.03
24,Bar Chart,6,9,0.03
7,Tree Chart,5,8,0.03
25,Pie Chart,10,7,0.03
13,Tree Chart,10,7,0.03
33,Bar Chart,10,7,0.03
9,Pie Chart,9,6,0.03
50,Bar Chart,5,2,0.03
14,Tree Chart,99,97,0.02
29,Pie Chart,99,97,0.02
9,Bar Chart,95,97,0.02
38,Pie Chart,99,97,0.02
19,Bar Chart,96,94,0.02
12,Pie Chart,95,93,0.02
39,Bar Chart,90,92,0.02
47,Bar Chart,90,88,0.02
59,Bar Chart,90,88,0.02
60,Bar Chart,85,83,0.02
30,Pie Chart,80,82,0.02
29,Bar Chart,80,82,0.02
42,Bar Chart,80,82,0.02
29,Bar Chart,77,79,0.02
48,Bar Chart,80,78,0.02
21,Bar Chart,80,78,0.02
14,Bar Chart,75,73,0.02
60,Tree Chart,70,72,0.02
41,Bar Chart,66,68,0.02
43,Pie Chart,70,68,0.02
35,Bar Chart,66,64,0.02
7,Tree Chart,65,63,0.02
51,Pie Chart,60,62,0.02
22,Bar Chart,60,58,0.02
57,Pie Chart,50,52,0.02
34,Bar Chart,50,48,0.02
19,Bar Chart,50,48,0.02
20,Bar Chart,50,48,0.02
51,Tree Chart,50,48,0.02
23,Bar Chart,40,42,0.02
25,Bar Chart,40,42,0.02
3,Bar Chart,40,42,0.02
12,Bar Chart,40,42,0.02
52,Bar Chart,40,42,0.02
55,Bar Chart,35,33,0.02
4,Bar Chart,30,32,0.02
33,Bar Chart,27,29,0.02
23,Tree Chart,30,28,0.02
52,Bar Chart,25,27,0.02
32,Bar Chart,25,27,0.02
18,Pie Chart,25,27,0.02
41,Pie Chart,25,27,0.02
34,Bar Chart,22,24,0.02
4,Bar Chart,25,23,0.02
23,Pie Chart,25,23,0.02
48,Bar Chart,25,23,0.02
44,Bar Chart,25,23,0.02
5,Bar Chart,25,23,0.02
47,Bar Chart,25,23,0.02
25,Pie Chart,20,22,0.02
26,Bar Chart,20,22,0.02
24,Pie Chart,20,22,0.02
44,Tree Chart,22,20,0.02
2,Tree Chart,20,18,0.02
50,Pie Chart,20,18,0.02
16,Pie Chart,15,17,0.02
7,Bar Chart,15,17,0.02
36,Tree Chart,12,14,0.02
28,Bar Chart,14,12,0.02
47,Pie Chart,10,12,0.02
49,Tree Chart,10,12,0.02
52,Tree Chart,8,10,0.02
58,Bar Chart,12,10,0.02
18,Bar Chart,12,10,0.02
44,Pie Chart,10,8,0.02
45,Bar Chart,10,8,0.02
13,Tree Chart,10,8,0.02
53,Pie Chart,10,8,0.02
5,Tree Chart,5,7,0.02
3,Bar Chart,8,6,0.02
9,Bar Chart,8,6,0.02
20,Tree Chart,5,3,0.02
4,Pie Chart,5,3,0.02
22,Bar Chart,3,1,0.02
47,Bar Chart,3,1,0.02
11,Tree Chart,99,100,0.01
55,Pie Chart,99,100,0.01
14,Pie Chart,99,100,0.01
11,Pie Chart,99,100,0.01
6,Bar Chart,95,96,0.01
48,Bar Chart,95,94,0.01
14,Bar Chart,90,91,0.01
3,Bar Chart,90,89,0.01
55,Tree Chart,90,89,0.01
29,Tree Chart,90,89,0.01
48,Tree Chart,90,89,0.01
41,Bar Chart,80,81,0.01
5,Bar Chart,80,81,0.01
47,Bar Chart,80,81,0.01
18,Bar Chart,80,79,0.01
52,Pie Chart,80,79,0.01
59,Bar Chart,80,79,0.01
41,Pie Chart,80,79,0.01
51,Bar Chart,75,76,0.01
42,Pie Chart,75,76,0.01
25,Tree Chart,75,74,0.01
31,Bar Chart,75,74,0.01
26,Bar Chart,70,71,0.01
47,Bar Chart,70,71,0.01
27,Bar Chart,70,69,0.01
29,Tree Chart,70,69,0.01
60,Bar Chart,65,66,0.01
23,Bar Chart,65,64,0.01
3,Pie Chart,60,61,0.01
11,Tree Chart,60,61,0.01
24,Tree Chart,60,59,0.01
58,Bar Chart,55,54,0.01
22,Bar Chart,53,52,0.01
19,Pie Chart,50,51,0.01
52,Pie Chart,50,51,0.01
39,Bar Chart,50,51,0.01
58,Bar Chart,50,51,0.01
2,Pie Chart,50,49,0.01
49,Pie Chart,50,49,0.01
27,Pie Chart,40,41,0.01
24,Bar Chart,40,39,0.01
48,Bar Chart,40,39,0.01
18,Pie Chart,35,34,0.01
17,Bar Chart,35,34,0.01
35,Bar Chart,33,32,0.01
56,Tree Chart,30,29,0.01
53,Bar Chart,30,29,0.01
16,Bar Chart,25,26,0.01
54,Bar Chart,25,26,0.01
31,Bar Chart,24,25,0.01
27,Bar Chart,25,24,0.01
46,Bar Chart,25,24,0.01
30,Pie Chart,25,24,0.01
46,Bar Chart,22,21,0.01
4,Bar Chart,20,21,0.01
7,Bar Chart,20,21,0.01
46,Bar Chart,20,21,0.01
34,Pie Chart,20,21,0.01
9,Bar Chart,20,19,0.01
27,Bar Chart,20,19,0.01
39,Bar Chart,20,19,0.01
48,Bar Chart,20,19,0.01
40,Pie Chart,15,16,0.01
50,Bar Chart,17,16,0.01
37,Bar Chart,13,14,0.01
39,Pie Chart,10,11,0.01
38,Bar Chart,10,11,0.01
15,Pie Chart,10,11,0.01
32,Bar Chart,10,11,0.01
5,Bar Chart,9,10,0.01
27,Bar Chart,11,10,0.01
7,Pie Chart,8,9,0.01
2,Pie Chart,10,9,0.01
42,Tree Chart,10,9,0.01
51,Bar Chart,10,9,0.01
29,Pie Chart,7,8,0.01
4,Bar Chart,8,7,0.01
13,Tree Chart,8,7,0.01
15,Pie Chart,8,7,0.01
53,Bar Chart,8,7,0.01
45,Pie Chart,5,6,0.01
8,Tree Chart,5,6,0.01
12,Tree Chart,5,6,0.01
57,Bar Chart,5,4,0.01
25,Tree Chart,5,4,0.01
23,Pie Chart,5,4,0.01
42,Tree Chart,3,2,0.01
36,Tree Chart,2,1,0.01
41,Bar Chart,2,1,0.01
21,Tree Chart,99,99,0
18,Bar Chart,99,99,0
41,Pie Chart,98,98,0
27,Bar Chart,96,96,0
29,Bar Chart,95,95,0
47,Pie Chart,92,92,0
51,Pie Chart,90,90,0
17,Bar Chart,80,80,0
38,Bar Chart,80,80,0
10,Tree Chart,70,70,0
6,Pie Chart,70,70,0
45,Pie Chart,60,60,0
42,Tree Chart,50,50,0
22,Pie Chart,50,50,0
21,Tree Chart,50,50,0
25,Bar Chart,50,50,0
39,Tree Chart,50,50,0
30,Bar Chart,40,40,0
44,Pie Chart,40,40,0
46,Bar Chart,40,40,0
15,Tree Chart,25,25,0
16,Bar Chart,25,25,0
12,Pie Chart,25,25,0
5,Pie Chart,25,25,0
17,Tree Chart,25,25,0
56,Pie Chart,20,20,0
60,Bar Chart,20,20,0
24,Bar Chart,20,20,0
46,Bar Chart,17,17,0
58,Bar Chart,15,15,0
28,Tree Chart,15,15,0
11,Tree Chart,12,12,0
8,Bar Chart,10,10,0
28,Pie Chart,10,10,0
15,Tree Chart,8,8,0
40,Pie Chart,7,7,0
19,Tree Chart,7,7,0
57,Pie Chart,5,5,0
31,Tree Chart,5,5,0
30,Pie Chart,5,5,0
33,Tree Chart,5,5,0
50,Pie Chart,5,5,0
19,Pie Chart,3,3,0
57,Pie Chart,3,3,0
52,Pie Chart,1,1,0
